filename,mnli_val,target_set_val
creative_train_0,0.74253693326541,0.689873417721519
creative_train_100000,0.8168110035659705,0.5928270042194093
creative_train_10000,0.8098828323993887,0.5759493670886076
creative_train_1000,0.8008150789607743,0.6265822784810127
creative_train_100,0.7625063678043811,0.609704641350211
creative_train_2000,0.8032603158430973,0.630801687763713
creative_train_400000,0.833112582781457,0.5632911392405063
creative_train_5000,0.8161996943453897,0.6075949367088608
creative_train_500,0.8159959246051961,0.6160337552742616
full_aug_train_0,0.6804890473764645,0.6497890295358649
full_aug_train_100000,0.8137544574630667,0.6075949367088608
full_aug_train_10000,0.8120224146714213,0.5780590717299579
full_aug_train_1000,0.773204279164544,0.6962025316455697
full_aug_train_100,0.7154355578196637,0.6540084388185654
full_aug_train_2000,0.7915435557819663,0.6286919831223629
full_aug_train_400000,0.8306673458991339,0.6033755274261603
full_aug_train_5000,0.8016301579215487,0.5675105485232067
full_aug_train_500,0.7695364238410596,0.6645569620253164
train_0_balanced,0.7700458481915435,0.46624472573839665
train_0_unbalanced,0.8278145695364238,0.4282700421940928
train_100000_balanced,0.8169128884360672,0.4873417721518987
train_100000_unbalanced,0.8178298522669384,0.45147679324894513
train_10000_balanced,0.8075394803871625,0.4472573839662447
train_10000_unbalanced,0.8111054508405502,0.46624472573839665
train_1000_balanced,0.795109526235354,0.46624472573839665
train_1000_unbalanced,0.8286296484971981,0.5021097046413502
train_100_balanced,0.838920020376974,0.4388185654008439
train_100_unbalanced,0.7958227203260316,0.47468354430379744
train_2000_balanced,0.8230259806418747,0.4978902953586498
train_2000_unbalanced,0.8149770759042282,0.4873417721518987
train_400000_balanced,0.8190524707080998,0.4831223628691983
train_400000_unbalanced,0.8261844116148752,0.4451476793248945
train_5000_balanced,0.8146714212939379,0.4767932489451477
train_5000_unbalanced,0.8094752929190016,0.47890295358649787
train_500_balanced,0.7978604177279673,0.4936708860759494
train_500_unbalanced,0.8289353031074885,0.4641350210970464
